,Africa (Cape Town) af-south-1,Asia Pacific (Hong Kong) ap-east-1,Asia Pacific (Tokyo) ap-northeast-1,Asia Pacific (Seoul) ap-northeast-2,Asia Pacific (Osaka) ap-northeast-3,Asia Pacific (Mumbai) ap-south-1,Asia Pacific (Singapore) ap-southeast-1,Asia Pacific (Sydney) ap-southeast-2,Canada (Central) ca-central-1,EU (Frankfurt) eu-central-1,EU (Stockholm) eu-north-1,EU (Milan) eu-south-1,EU (Ireland) eu-west-1,EU (London) eu-west-2,EU (Paris) eu-west-3,Middle East (Bahrain) me-south-1,SA (São Paulo) sa-east-1,US East (N. Virginia) us-east-1,US East (Ohio) us-east-2,US West (N. California) us-west-1,US West (Oregon) us-west-2
Africa (Cape Town) af-south-1,13.23,351.41,403.82,413.94,390.09,259.24,305.33,440.93,249.4,181.53,205.47,235.58,160.56,175.86,185.13,224.22,363.68,225.31,234.19,341.45,285.43
Asia Pacific (Hong Kong) ap-east-1,353.62,5.28,76.29,76.51,66.75,122.46,47.39,144.32,195.95,203.64,229.6,218.72,244.64,222.7,227.68,190.62,312.22,197.53,184.68,160.22,146.07
Asia Pacific (Tokyo) ap-northeast-1,379.02,59.72,9.75,38.25,16.06,144.98,80.63,116.78,149.32,235.73,253.38,227.89,205.43,217.6,221.02,175.28,260.99,149.63,136.69,116.35,104.99
Asia Pacific (Seoul) ap-northeast-2,399.4,77.63,38.83,6.72,33.21,158.17,107.1,152.52,174.58,257.39,277.87,246.96,233.0,242.6,250.99,192.66,289.37,177.31,166.33,142.9,134.18
Asia Pacific (Osaka) ap-northeast-3,370.76,54.09,15.75,34.99,8.75,134.77,74.28,125.04,152.74,233.6,250.97,223.13,210.93,220.07,225.81,161.46,268.48,154.5,141.67,122.25,102.57
Asia Pacific (Mumbai) ap-south-1,246.12,115.12,140.39,161.18,132.02,8.53,140.72,165.34,194.33,123.16,143.17,113.88,129.39,119.43,109.41,39.71,305.44,189.47,201.01,241.19,235.71
Asia Pacific (Singapore) ap-southeast-1,300.94,49.77,94.72,101.73,75.1,74.92,8.38,97.12,220.46,161.93,184.99,160.03,184.89,176.57,170.75,118.72,335.3,232.31,208.61,182.77,174.74
Asia Pacific (Sydney) ap-southeast-2,420.45,141.86,117.11,151.84,125.86,155.26,96.63,6.73,204.54,263.37,300.43,244.05,261.71,547.91,283.68,197.44,317.66,201.81,191.66,142.32,143.36
Canada (Central) ca-central-1,234.32,198.86,149.73,176.79,152.37,193.75,220.33,203.67,7.6,95.18,113.42,105.97,72.37,81.02,92.74,200.35,130.48,20.16,31.22,86.26,68.78
EU (Frankfurt) eu-central-1,170.98,201.76,235.61,256.54,228.33,123.64,164.63,268.98,99.02,5.71,30.15,14.78,27.57,21.01,13.66,118.64,210.86,94.19,103.46,154.21,152.83
EU (Stockholm) eu-north-1,188.1,222.75,253.48,275.01,247.82,145.0,184.12,301.16,113.54,27.86,8.13,36.81,45.74,37.46,39.33,140.86,221.2,112.85,122.67,183.28,168.76
EU (Milan) eu-south-1,196.43,195.14,226.3,247.72,220.66,111.8,157.19,243.61,107.91,14.88,36.1,5.71,42.32,30.86,22.38,111.76,221.05,103.71,113.4,163.69,162.3
EU (Ireland) eu-west-1,169.01,246.37,205.0,235.92,210.66,125.22,184.78,260.52,74.81,31.98,47.41,40.19,6.63,17.69,22.14,137.79,188.6,72.82,83.34,143.37,126.77
EU (London) eu-west-2,161.0,221.1,214.02,242.24,219.06,119.06,178.49,268.55,83.89,19.81,42.85,30.79,19.29,7.2,16.84,128.81,194.94,83.36,92.54,157.27,139.36
EU (Paris) eu-west-3,163.91,215.1,218.9,249.87,225.53,110.22,170.28,281.68,89.66,16.94,39.94,23.42,22.01,15.1,6.97,121.13,201.42,86.38,97.63,149.43,143.69
Middle East (Bahrain) me-south-1,213.69,183.44,278.71,307.24,171.02,41.98,101.99,202.05,200.3,120.26,141.52,118.81,136.04,125.26,118.3,7.38,315.9,199.29,206.83,257.94,246.55
SA (São Paulo) sa-east-1,345.64,310.56,262.11,289.09,267.2,305.72,334.73,319.27,129.48,211.12,222.42,220.64,184.49,193.4,201.02,315.56,8.91,120.44,129.6,181.02,187.57
US East (N. Virginia) us-east-1,233.75,201.41,152.95,180.22,157.34,192.01,236.3,204.37,22.42,97.3,124.17,105.62,74.48,83.81,89.26,221.19,121.52,9.13,21.5,68.84,73.46
US East (Ohio) us-east-2,243.83,191.89,141.39,168.75,145.04,206.38,211.72,195.18,32.3,108.13,127.72,117.89,85.64,97.69,100.92,213.24,132.57,19.78,9.2,60.27,65.16
US West (N. California) us-west-1,310.66,156.95,113.43,142.11,118.55,238.13,184.35,142.32,84.85,156.16,180.91,164.03,144.09,152.7,150.13,264.08,177.87,66.14,54.95,6.63,25.93
US West (Oregon) us-west-2,288.5,146.59,101.33,128.99,103.14,231.79,171.56,144.82,69.02,149.06,167.07,160.68,128.5,137.94,145.43,250.22,184.81,72.18,63.2,25.47,6.32
